,HOOD,,,,,,,ADDR,CITY,ZIP,Latitude,Longitude,,,,,,PRICE,,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4751,1, ,A9, 3354 GUNTHER AVENUE                       ,NYC,10469,40.8773826,-73.8423125,"2,997",948,1960,1, A9 ,"$335,000 ",8/14/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4756,62, ,A2, 3244 BRUNER AVENUE                        ,NYC,10469,40.8758988,-73.8395657,"2,850","1,056",1960,1, A2 ,"$308,000 ",2/6/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4766,33, ,A1, 1511 ADEE AVENUE                          ,NYC,10469,40.8697734,-73.8422106,"2,502","1,224",1935,1, A1 ,"$400,000 ",10/15/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4781,32, ,A5, 3021 EDSON AVENUE                         ,NYC,10469,40.872459,-73.835431,"1,692","1,674",1955,1, A5 ,"$230,000 ",6/8/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4792,12, ,A1, 2837 GUNTHER AVE                          ,NYC,10469,40.868169,-73.8381969,"4,750","1,063",1910,1, A1 ,"$645,000 ",11/24/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4792,22, ,A1, 2823 GUNTHER AVENUE                       ,NYC,10469,40.867503,-73.837883,"4,750","2,178",1910,1, A1 ,"$460,000 ",10/23/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4792,38, ,A1, 2814 TIEMANN AVENUE                       ,NYC,10469,40.86725,-73.838127,"3,555","1,232",1925,1, A1 ,"$300,000 ",9/30/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4792,40, ,A1, 2816 TIEMANN AVENUE                       ,NYC,10469,40.867349,-73.838176,"3,555","1,255",1925,1, A1 ,"$300,000 ",10/8/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4796,27, ,A5, 2903 GRACE AVENUE                         ,NYC,10469,40.870067,-73.8351737,"1,320","1,140",2005,1, A5 ,"$369,000 ",12/18/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4803,46, ,A5, 2730 GUNTHER AVENUE                       ,NYC,10469,40.8663791,-73.8366759,"2,470","1,088",1955,1, A5 ,"$152,000 ",11/23/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4886,54, ,A2, 3426 GRACE AVENUE                         ,NYC,10469,40.879694,-73.839635,"2,375",703,1930,1, A2 ,"$218,000 ",1/15/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4893,120, ,A5, 3538 GRACE AVENUE                         ,NYC,10466,40.881847,-73.840839,"1,706","1,732",1960,1, A5 ,"$300,000 ",5/28/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4897,64, ,A2, 1236 EAST 223 STREET                      ,NYC,10466,40.880862,-73.845907,"2,500",828,1910,1, A2 ,"$176,500 ",9/18/2015,
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4898,28, ,A5, 1235 EAST 223 STREET                      ,NYC,10466,40.8812285,-73.8458272,"1,600",960,1955,1, A5 ,"$159,750 ",7/7/2015,
