KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,HOOD,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,TN,1032930,239207,40.82311764,-73.8241144,"(40.823117641, -73.824114397)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,SV,1021457,236045,40.81449463,-73.86558527,"(40.814494627, -73.865585266)"
109,GRAND LARCENY,422,"LARCENY,GRAND BY OPEN CREDIT CARD (NEW ACCT)",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,BD,1021275,240025,40.82541936,-73.86622081,"(40.825419359, -73.866220811)"
105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,CH,1025622,237609,40.81876884,-73.85052893,"(40.818768839, -73.850528931)"
105,ROBBERY,397,"ROBBERY,OPEN AREA UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,FRONT OF,RESIDENCE - PUBLIC HOUSING,BD,1021576,240437,40.82654891,-73.86513093,"(40.826548914, -73.865130932)"
109,GRAND LARCENY,404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,REAR OF,RESIDENCE - PUBLIC HOUSING,BR,1017824,243494,40.83495455,-73.87867277,"(40.834954553, -73.878672765)"
109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,49,INSIDE,RESIDENCE - PUBLIC HOUSING,PB ,1022649,253078,40.86124012,-73.86118147,"(40.861240119, -73.861181471)"
109,GRAND LARCENY,404,"LARCENY,GRAND FROM PERSON,PERSONAL ELECTRONIC DEVICE(SNATCH)",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,REAR OF,RESIDENCE - PUBLIC HOUSING,SV,1021490,236442,40.81558414,-73.86546385,"(40.81558414, -73.865463846)"
106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,BD,1022040,240165,40.82580038,-73.86345589,"(40.825800379, -73.86345589)"
106,FELONY ASSAULT,106,"ASSAULT 2,1,PEACE OFFICER",ATTEMPTED,FELONY,N.Y. HOUSING POLICE,BRONX,49,INSIDE,RESIDENCE - PUBLIC HOUSING,EC ,1024600,256714,40.87121112,-73.85410634,"(40.871211121, -73.85410634)"
106,FELONY ASSAULT,106,"ASSAULT 2,1,PEACE OFFICER",ATTEMPTED,FELONY,N.Y. HOUSING POLICE,BRONX,49,INSIDE,RESIDENCE - PUBLIC HOUSING,EC ,1024600,256714,40.87121112,-73.85410634,"(40.871211121, -73.85410634)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,TN,1032948,238316,40.820672,-73.82405583,"(40.820672004, -73.824055827)"
105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,49,FRONT OF,RESIDENCE - PUBLIC HOUSING,EC ,1025181,256069,40.86943812,-73.85200954,"(40.86943812, -73.852009538)"
105,ROBBERY,389,"ROBBERY,DWELLING",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,BDE,1020068,240643,40.82712057,-73.8705787,"(40.827120568, -73.870578701)"
109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,SV,1021342,237277,40.8178766,-73.86599391,"(40.817876601, -73.865993913)"
105,ROBBERY,388,"ROBBERY,RESIDENTIAL COMMON AREA",ATTEMPTED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,BR ,1018829,243632,40.83532945,-73.87504022,"(40.835329446, -73.87504022)"
105,ROBBERY,383,"ROBBERY,DELIVERY PERSON",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,REAR OF,RESIDENCE - PUBLIC HOUSING,CH ,1026999,237853,40.81943199,-73.84555244,"(40.819431994, -73.845552435)"
124,KIDNAPPING & RELATED OFFENSES,183,"IMPRISONMENT 1,UNLAWFUL",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,TN ,1033577,239043,40.82266392,-73.82177792,"(40.822663919, -73.821777915)"
106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,45,INSIDE,RESIDENCE - PUBLIC HOUSING,TN ,1032948,238316,40.820672,-73.82405583,"(40.820672004, -73.824055827)"
109,GRAND LARCENY,412,"LARCENY,GRAND FROM RESIDENCE, UNATTENDED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,SV,1020891,236726,40.81636615,-73.86762631,"(40.816366145, -73.867626311)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,CH ,1025622,237609,40.81876884,-73.85052893,"(40.818768839, -73.850528931)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,49,INSIDE,RESIDENCE - PUBLIC HOUSING,PB ,1022930,253752,40.86308882,-73.86016171,"(40.863088816, -73.860161712)"
106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,CH ,1025622,237609,40.81876884,-73.85052893,"(40.818768839, -73.850528931)"
109,GRAND LARCENY,405,"LARCENY,GRAND BY THEFT OF CREDIT CARD",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,CH ,1026268,237961,40.81973193,-73.8481928,"(40.81973193, -73.848192804)"
106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,43,INSIDE,RESIDENCE - PUBLIC HOUSING,CH ,1026382,237309,40.81794183,-73.84778502,"(40.817941833, -73.847785022)"
106,FELONY ASSAULT,105,STRANGULATION 1ST,COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,41,FRONT OF,RESIDENCE - PUBLIC HOUSING,WF ,1014642,240068,40.82556269,-73.89018729,"(40.825562694, -73.890187287)"
